content,content_clean,content_preprocessing
"Mhn untuk perbaiki pd item download, trimakasih",mhn untuk perbaiki pd item download trimakasih,"['mhn', 'perbaiki', 'pd', 'item', 'download', 'trimakasih']"
Kenapa tidak bisa sinkronisasi kelas yah?,kenapa tidak bisa sinkronisasi kelas yah,"['sinkronisasi', 'kelas', 'yah']"
"Yang buat aplikasi ini,mudah""an besok dijogetin di dalem peti sama abng"" dari ghana.",yang buat aplikasi inimudahan besok dijogetin di dalem peti sama abng dari ghana,"['buat', 'aplikasi', 'inimudahan', 'besok', 'dijogetin', 'dalem', 'peti', 'sama', 'abng', 'ghana']"
Tambahin fitur bayar Pendidikan lewat Shopee min.,tambahin fitur bayar pendidikan lewat shopee min,"['tambahin', 'fitur', 'bayar', 'pendidikan', 'lewat', 'shopee', 'min']"
Kenapa dibilang 13 MB tapi yang harus dihapus aplikasi lainnya harus 200MB,kenapa dibilang  mb tapi yang harus dihapus aplikasi lainnya harus mb,"['dibilang', 'mb', 'dihapus', 'aplikasi', 'lainnya', 'mb']"
Akhirnya bisa masuk,akhirnya bisa masuk,"['akhirnya', 'masuk']"
Aplikasinya bagus Kenapa di aplikasi saya kelas akademik yg dari siakat lambat maauaknya tolong di bantu admin,aplikasinya bagus kenapa di aplikasi saya kelas akademik yg dari siakat lambat maauaknya tolong di bantu admin,"['aplikasinya', 'bagus', 'aplikasi', 'kelas', 'akademik', 'yg', 'siakat', 'lambat', 'maauaknya', 'bantu', 'admin']"
Bagus menggunakan aplikasi ini saat kuliah online.,bagus menggunakan aplikasi ini saat kuliah online,"['bagus', 'menggunakan', 'aplikasi', 'kuliah', 'online']"
Baik,baik,['baik']
Kenapa saya tidak bisa membuka komentar dosen saya padahal untuk edlink support & yg lainnya bisa dibuka? Padahal sudah saya keluar-masukkan & saya refresh tp tdk berubah,kenapa saya tidak bisa membuka komentar dosen saya padahal untuk edlink support  yg lainnya bisa dibuka padahal sudah saya keluarmasukkan  saya refresh tp tdk berubah,"['membuka', 'komentar', 'dosen', 'padahal', 'edlink', 'support', 'yg', 'lainnya', 'dibuka', 'padahal', 'keluarmasukkan', 'refresh', 'tp', 'tdk', 'berubah']"
sedang pemeliharaan terus menerus...mohon ditingkatkan,sedang pemeliharaan terus menerusmohon ditingkatkan,"['sedang', 'pemeliharaan', 'terus', 'menerusmohon', 'ditingkatkan']"
"Sudah baik aplikasinya, Sekedar masukan tolong di komtentar di tambahkan fitur balas sehingga saat kelompok presentasi dan ad pernyaan di komentar dapat langsung di balas sehingga komtentar dapat terlihat lebih rapi dan setiap diskusi lebih efisien.",sudah baik aplikasinya sekedar masukan tolong di komtentar di tambahkan fitur balas sehingga saat kelompok presentasi dan ad pernyaan di komentar dapat langsung di balas sehingga komtentar dapat terlihat lebih rapi dan setiap diskusi lebih efisien,"['baik', 'aplikasinya', 'sekedar', 'masukan', 'komtentar', 'tambahkan', 'fitur', 'balas', 'kelompok', 'presentasi', 'ad', 'pernyaan', 'komentar', 'langsung', 'balas', 'komtentar', 'terlihat', 'lebih', 'rapi', 'diskusi', 'lebih', 'efisien']"
"Sudah baik aplikasinya, Sekedar masukan tolong di komtentar di tambahkan fitur balas sehingga saat kelompok presentasi dan ad pernyaan di komentar dapat langsung di balas sehingga komtentar dapat terlihat lebih rapi dan setiap diskusi lebih efisien.",sudah baik aplikasinya sekedar masukan tolong di komtentar di tambahkan fitur balas sehingga saat kelompok presentasi dan ad pernyaan di komentar dapat langsung di balas sehingga komtentar dapat terlihat lebih rapi dan setiap diskusi lebih efisien,"['baik', 'aplikasinya', 'sekedar', 'masukan', 'komtentar', 'tambahkan', 'fitur', 'balas', 'kelompok', 'presentasi', 'ad', 'pernyaan', 'komentar', 'langsung', 'balas', 'komtentar', 'terlihat', 'lebih', 'rapi', 'diskusi', 'lebih', 'efisien']"
"Sudah baik aplikasinya, Sekedar masukan tolong di komtentar di tambahkan fitur balas sehingga saat kelompok presentasi dan ad pernyaan di komentar dapat langsung di balas sehingga komtentar dapat terlihat lebih rapi dan setiap diskusi lebih efisien.",sudah baik aplikasinya sekedar masukan tolong di komtentar di tambahkan fitur balas sehingga saat kelompok presentasi dan ad pernyaan di komentar dapat langsung di balas sehingga komtentar dapat terlihat lebih rapi dan setiap diskusi lebih efisien,"['baik', 'aplikasinya', 'sekedar', 'masukan', 'komtentar', 'tambahkan', 'fitur', 'balas', 'kelompok', 'presentasi', 'ad', 'pernyaan', 'komentar', 'langsung', 'balas', 'komtentar', 'terlihat', 'lebih', 'rapi', 'diskusi', 'lebih', 'efisien']"
Server sering down. Sial,server sering down sial,"['server', 'sering', 'down', 'sial']"
Niru design tokopedia nih? Untung ngga kena copyright🤭,niru design tokopedia nih untung ngga kena copyright🤭,"['niru', 'design', 'tokopedia', 'nih', 'untung', 'ngga', 'kena', 'copyright🤭']"
"Tolong segera tambahkan aplikasi pada pengguna iOs agar bisa mengakses apk ini, terimakasih",tolong segera tambahkan aplikasi pada pengguna ios agar bisa mengakses apk ini terimakasih,"['segera', 'tambahkan', 'aplikasi', 'pengguna', 'ios', 'mengakses', 'apk', 'terimakasih']"
Semoga Bisa mudah belajar dengan aplikasi ini😊,semoga bisa mudah belajar dengan aplikasi ini,"['semoga', 'mudah', 'belajar', 'aplikasi']"
Ok banget,ok banget,['banget']
Sangat mmbntu dan memuaskan...salam sukses selluu tokopedia,sangat mmbntu dan memuaskansalam sukses selluu tokopedia,"['sangat', 'mmbntu', 'memuaskansalam', 'sukses', 'selluu', 'tokopedia']"
Nice,nice,['nice']
"Menyesal , benar² buang kuota hanya untuk download . Sudah buat akun , tdk bisa login²",menyesal  benar² buang kuota hanya untuk download  sudah buat akun  tdk bisa login²,"['menyesal', 'benar²', 'buang', 'kuota', 'download', 'buat', 'akun', 'tdk', 'login²']"
Sangat bermanfaat untuk pembelajaran online..,sangat bermanfaat untuk pembelajaran online,"['sangat', 'bermanfaat', 'pembelajaran', 'online']"
Bagus,bagus,['bagus']
Go for use ...............,go for use,"['go', 'for', 'use']"
Aplikasi yamg sangat bagus,aplikasi yamg sangat bagus,"['aplikasi', 'yamg', 'sangat', 'bagus']"
"Tolong di tingkat kan lagi , setiap kali buka untuk nilai dll ga keluar , harus log in berulang2 kali",tolong di tingkat kan lagi  setiap kali buka untuk nilai dll ga keluar  harus log in berulang kali,"['tingkat', 'kan', 'kali', 'buka', 'nilai', 'ga', 'keluar', 'log', 'in', 'berulang', 'kali']"
Sangat bagus Dan membantu dalam proses belajar mengajar di kelas,sangat bagus dan membantu dalam proses belajar mengajar di kelas,"['sangat', 'bagus', 'membantu', 'proses', 'belajar', 'mengajar', 'kelas']"
Kalo bisa hadirkan di appstore . Agar pengguna ios dapat menggunakan nya,kalo bisa hadirkan di appstore  agar pengguna ios dapat menggunakan nya,"['kalo', 'hadirkan', 'appstore', 'pengguna', 'ios', 'menggunakan', 'nya']"
Good,good,['good']
Aplikasi yg bagus,aplikasi yg bagus,"['aplikasi', 'yg', 'bagus']"
"Sangat kecewa setelah diupdate semakin buruk dan lambat, tampilan lebih simpel yang belum diupdate. Mohon perbaiki. Update harus lebih baik bukan lebih buruk seperti ini.",sangat kecewa setelah diupdate semakin buruk dan lambat tampilan lebih simpel yang belum diupdate mohon perbaiki update harus lebih baik bukan lebih buruk seperti ini,"['sangat', 'kecewa', 'diupdate', 'semakin', 'buruk', 'lambat', 'tampilan', 'lebih', 'simpel', 'diupdate', 'mohon', 'perbaiki', 'update', 'lebih', 'baik', 'bukan', 'lebih', 'buruk']"
"Aplikasi luar,sampe bingung klo ada apa2 nya gmn...... Hadeh",aplikasi luarsampe bingung klo ada apa nya gmn hadeh,"['aplikasi', 'luarsampe', 'bingung', 'klo', 'apa', 'nya', 'gmn', 'hadeh']"
Bagus,bagus,['bagus']
😇,,[]
Aplikasi sering error',aplikasi sering error,"['aplikasi', 'sering', 'error']"
"Aplikasinya bagus dan mudah digunakan, memudahkan kuliah daring selama pandemi ini wkwkwk 😆",aplikasinya bagus dan mudah digunakan memudahkan kuliah daring selama pandemi ini wkwkwk,"['aplikasinya', 'bagus', 'mudah', 'digunakan', 'memudahkan', 'kuliah', 'daring', 'selama', 'pandemi', 'wkwkwk']"
"Tolong Ditingkatkan lagi, saya tidak bisa menghapus file buat mengurangi kapasitas memori di edlink, karena setiap mau upload file walaupun sudah dikompres itu selalu gagal. Tolong diperbaiki 🙏",tolong ditingkatkan lagi saya tidak bisa menghapus file buat mengurangi kapasitas memori di edlink karena setiap mau upload file walaupun sudah dikompres itu selalu gagal tolong diperbaiki,"['ditingkatkan', 'menghapus', 'file', 'buat', 'mengurangi', 'kapasitas', 'memori', 'edlink', 'mau', 'upload', 'file', 'walaupun', 'dikompres', 'selalu', 'gagal', 'diperbaiki']"
Bagus juga,bagus juga,['bagus']
Aplikasinya sangat membantu bagi mahasiswa,aplikasinya sangat membantu bagi mahasiswa,"['aplikasinya', 'sangat', 'membantu', 'mahasiswa']"
"Kenapa jawaban saya bisa berubah2 sendiri ya, tadinya A jadi B, sudah saya pastikan sampai berkali2 jawaban awal A nanti ketika dikumpulkan dan saya cocokkan lagi berubah jadi B. sangat disayangkan sekali karena mempengaruhi nilai",kenapa jawaban saya bisa berubah sendiri ya tadinya a jadi b sudah saya pastikan sampai berkali jawaban awal a nanti ketika dikumpulkan dan saya cocokkan lagi berubah jadi b sangat disayangkan sekali karena mempengaruhi nilai,"['jawaban', 'berubah', 'sendiri', 'tadinya', 'a', 'jadi', 'b', 'pastikan', 'berkali', 'jawaban', 'awal', 'a', 'dikumpulkan', 'cocokkan', 'berubah', 'jadi', 'b', 'sangat', 'disayangkan', 'sekali', 'mempengaruhi', 'nilai']"
Mantap,mantap,['mantap']
Sudah baik..,sudah baik,['baik']
Aplikasi yang sangat bagus untuk memantu kuliah online,aplikasi yang sangat bagus untuk memantu kuliah online,"['aplikasi', 'sangat', 'bagus', 'memantu', 'kuliah', 'online']"
Kenapa saya tidak bisa download file di edlink? Padahal sebelumnya saya tidak ad kendala di edlink .ehh sekarang tiba² edlink saya tidak bisa ngunduh file. Jadi kendala ke kuliah saya. Tolong bantuannya dong Min. Soalnya kalo saya download file dari mana pun kecuali edlink bisa semua. Kouta juga masih ada. Handphone saya realme 5i. Mohon bantuannya,kenapa saya tidak bisa download file di edlink padahal sebelumnya saya tidak ad kendala di edlink ehh sekarang tiba² edlink saya tidak bisa ngunduh file jadi kendala ke kuliah saya tolong bantuannya dong min soalnya kalo saya download file dari mana pun kecuali edlink bisa semua kouta juga masih ada handphone saya realme i mohon bantuannya,"['download', 'file', 'edlink', 'padahal', 'sebelumnya', 'ad', 'kendala', 'edlink', 'ehh', 'sekarang', 'tiba²', 'edlink', 'ngunduh', 'file', 'jadi', 'kendala', 'kuliah', 'bantuannya', 'dong', 'min', 'soalnya', 'kalo', 'download', 'file', 'mana', 'edlink', 'semua', 'kouta', 'handphone', 'realme', 'i', 'mohon', 'bantuannya']"
Gak bisa download file jenis document dan pdf,gak bisa download file jenis document dan pdf,"['gak', 'download', 'file', 'jenis', 'document', 'pdf']"
Aplikasinya sangat membantu saya dalam belajar,aplikasinya sangat membantu saya dalam belajar,"['aplikasinya', 'sangat', 'membantu', 'belajar']"
"Jaringan internet saya lancar, tetapi stelah terbuka edlink sevima cuman loading di beranda tanpa memunculkan berita, kelas, dll. Jadi , saya gk bisa kumpulkan tugas",jaringan internet saya lancar tetapi stelah terbuka edlink sevima cuman loading di beranda tanpa memunculkan berita kelas dll jadi  saya gk bisa kumpulkan tugas,"['jaringan', 'internet', 'lancar', 'stelah', 'terbuka', 'edlink', 'sevima', 'cuman', 'loading', 'beranda', 'memunculkan', 'berita', 'kelas', 'jadi', 'gk', 'kumpulkan', 'tugas']"
"mengapa edlink sy tdk bs uploax tugas yaa? apakah blm support adro 10 ? atau yg bagaimana ?? karena tertera folder yg ada hanya ""storages"" tanpa ada pilihan internal ataupun external, mohon bantuannya",mengapa edlink sy tdk bs uploax tugas yaa apakah blm support adro   atau yg bagaimana  karena tertera folder yg ada hanya storages tanpa ada pilihan internal ataupun external mohon bantuannya,"['edlink', 'sy', 'tdk', 'bs', 'uploax', 'tugas', 'yaa', 'blm', 'support', 'adro', 'yg', 'bagaimana', 'tertera', 'folder', 'yg', 'storages', 'pilihan', 'internal', 'ataupun', 'external', 'mohon', 'bantuannya']"
Aplikasinya parah ancur nilai semester ini gara gara aplikasinya yang kaga jelas,aplikasinya parah ancur nilai semester ini gara gara aplikasinya yang kaga jelas,"['aplikasinya', 'parah', 'ancur', 'nilai', 'semester', 'gara', 'gara', 'aplikasinya', 'kaga', 'jelas']"
👍👍👍,,[]
Kok edlink jadi jelek bgt. Bagusan sebelum di perbaharui tau.,kok edlink jadi jelek bgt bagusan sebelum di perbaharui tau,"['kok', 'edlink', 'jadi', 'jelek', 'bgt', 'bagusan', 'perbaharui', 'tau']"
Good,good,['good']
Tolong perbaiki untuk android 10 tidak bisa Download dan Upload File,tolong perbaiki untuk android  tidak bisa download dan upload file,"['perbaiki', 'android', 'download', 'upload', 'file']"
Okee,okee,['okee']
Jelek,jelek,['jelek']
Sangat bagus untuk anak kuliah,sangat bagus untuk anak kuliah,"['sangat', 'bagus', 'anak', 'kuliah']"
"Bagus dan dapat berkomunikasi dengan siswa, sayangnya kapasitas penyimpanan/unggah file terbatas",bagus dan dapat berkomunikasi dengan siswa sayangnya kapasitas penyimpananunggah file terbatas,"['bagus', 'berkomunikasi', 'siswa', 'sayangnya', 'kapasitas', 'penyimpananunggah', 'file', 'terbatas']"
Terbaik,terbaik,['terbaik']
"Kenapa ketika ujian, waktunya sudah tidka bisa dilihat?",kenapa ketika ujian waktunya sudah tidka bisa dilihat,"['ujian', 'waktunya', 'tidka', 'dilihat']"
Ok,ok,[]
"Kenapa sih keluar terus, harus masuk lagi, dan susah banget masuknya😑",kenapa sih keluar terus harus masuk lagi dan susah banget masuknya,"['sih', 'keluar', 'terus', 'masuk', 'susah', 'banget', 'masuknya']"
4 dulu ya..soalnya baru coba..,dulu yasoalnya baru coba,"['dulu', 'yasoalnya', 'baru', 'coba']"
Aplikasi selalu terhenti dan tidak bisa mendonload berkas,aplikasi selalu terhenti dan tidak bisa mendonload berkas,"['aplikasi', 'selalu', 'terhenti', 'mendonload', 'berkas']"
Baik,baik,['baik']
Sangat bermanfaat,sangat bermanfaat,"['sangat', 'bermanfaat']"
"Kenapa akun edlink saya keluar sendiri? Padahal sekalipun nggak pernah saya log out, tetap dalam akun yang sama, tapi sekarang akun saya log out dengan sendirinya, bahkan saya coba masuk kembali lewat akun google, siakad bahkan email pun juga gk bisa semua. Tolong untuk developer diperbaiki lagi edlink nya, sangat terganggu bila terus seperti ini, mengganggu pelajaran dan absen yang akan dilakukan",kenapa akun edlink saya keluar sendiri padahal sekalipun nggak pernah saya log out tetap dalam akun yang sama tapi sekarang akun saya log out dengan sendirinya bahkan saya coba masuk kembali lewat akun google siakad bahkan email pun juga gk bisa semua tolong untuk developer diperbaiki lagi edlink nya sangat terganggu bila terus seperti ini mengganggu pelajaran dan absen yang akan dilakukan,"['akun', 'edlink', 'keluar', 'sendiri', 'padahal', 'sekalipun', 'pernah', 'log', 'out', 'tetap', 'akun', 'sama', 'sekarang', 'akun', 'log', 'out', 'sendirinya', 'bahkan', 'coba', 'masuk', 'lewat', 'akun', 'google', 'siakad', 'bahkan', 'email', 'gk', 'semua', 'developer', 'diperbaiki', 'edlink', 'nya', 'sangat', 'terganggu', 'bila', 'terus', 'mengganggu', 'pelajaran', 'absen', 'dilakukan']"
"Cukup lengkap fiturnya, lg dipelajari. Sperti edm*** saya suka ini smg edlink lebih baik lagi. Oh ya untuk menambahkan jenjang pendidikan jk SMK gimana ya..",cukup lengkap fiturnya lg dipelajari sperti edm saya suka ini smg edlink lebih baik lagi oh ya untuk menambahkan jenjang pendidikan jk smk gimana ya,"['cukup', 'lengkap', 'fiturnya', 'lg', 'dipelajari', 'sperti', 'edm', 'suka', 'smg', 'edlink', 'lebih', 'baik', 'menambahkan', 'jenjang', 'pendidikan', 'jk', 'smk', 'gimana']"
"Tolong di update lagi, file setelah download tidak bisa dibuka di handphone",tolong di update lagi file setelah download tidak bisa dibuka di handphone,"['update', 'file', 'download', 'dibuka', 'handphone']"
"App ini bagus tp makin lama makin menurun aja ya, tiap refresh atau kembali ke beranda pst nge close2 sndiri pdhl jaringan stabil pake buka apa aja cpet, app ini doang bermasalah, dan sring bgt gangguan klo pke indihome. Tlg diperbaiki dong ujian jg kadang keganggu grgr sring error pke indihome.",app ini bagus tp makin lama makin menurun aja ya tiap refresh atau kembali ke beranda pst nge close sndiri pdhl jaringan stabil pake buka apa aja cpet app ini doang bermasalah dan sring bgt gangguan klo pke indihome tlg diperbaiki dong ujian jg kadang keganggu grgr sring error pke indihome,"['app', 'bagus', 'tp', 'makin', 'lama', 'makin', 'menurun', 'aja', 'tiap', 'refresh', 'beranda', 'pst', 'nge', 'close', 'sndiri', 'pdhl', 'jaringan', 'stabil', 'pake', 'buka', 'apa', 'aja', 'cpet', 'app', 'doang', 'bermasalah', 'sring', 'bgt', 'gangguan', 'klo', 'pke', 'indihome', 'tlg', 'diperbaiki', 'dong', 'ujian', 'jg', 'kadang', 'keganggu', 'grgr', 'sring', 'error', 'pke', 'indihome']"
sangat membantu dalam akses perkuliahan ..,sangat membantu dalam akses perkuliahan,"['sangat', 'membantu', 'akses', 'perkuliahan']"
Server rusak teroos perbaiki tuh server nggak mau di download lagi filenya dah lah males,server rusak teroos perbaiki tuh server nggak mau di download lagi filenya dah lah males,"['server', 'rusak', 'teroos', 'perbaiki', 'tuh', 'server', 'mau', 'download', 'filenya', 'dah', 'lah', 'males']"
"Tolong di beri notifikasi ketika ada materi,kuis baru",tolong di beri notifikasi ketika ada materikuis baru,"['beri', 'notifikasi', 'materikuis', 'baru']"
Good,good,['good']
Penyimpananya terbatas,penyimpananya terbatas,"['penyimpananya', 'terbatas']"
Berikan pelayanan yg memuaskan dan berikan reward,berikan pelayanan yg memuaskan dan berikan reward,"['berikan', 'pelayanan', 'yg', 'memuaskan', 'berikan', 'reward']"
"Aplikasinya bermanfaat, tapi sering eror",aplikasinya bermanfaat tapi sering eror,"['aplikasinya', 'bermanfaat', 'sering', 'eror']"
Tidak bisa dipakai jika tidak di update,tidak bisa dipakai jika tidak di update,"['dipakai', 'update']"
"Apk nya bohong nihh, aku berkali-kali masuk, komen, dll. Tpi kok presensi ku kosong, hmpir puluhan kali loh aku masuk n komen. Ktanya klo sudh masuk , komen dll presensi bkaln terisi otomatis.. Gak bener nihh",apk nya bohong nihh aku berkalikali masuk komen dll tpi kok presensi ku kosong hmpir puluhan kali loh aku masuk n komen ktanya klo sudh masuk  komen dll presensi bkaln terisi otomatis gak bener nihh,"['apk', 'nya', 'bohong', 'nihh', 'aku', 'berkalikali', 'masuk', 'komen', 'tpi', 'kok', 'presensi', 'ku', 'kosong', 'hmpir', 'puluhan', 'kali', 'loh', 'aku', 'masuk', 'n', 'komen', 'ktanya', 'klo', 'sudh', 'masuk', 'komen', 'presensi', 'bkaln', 'terisi', 'otomatis', 'gak', 'bener', 'nihh']"
"Tolong kepada pihak pengembang.. Saya sudah mendownload materi. Komen dll. Kenapa saya masih tidak terbaca mendownload, dan komen di absen dosen saya..... Tolong diperbaiki lagi.. Sangat mengganggu kami dalam penilaian. Dan saran saya juga ada notifikasi walaupun tdk saat membuka apk ini. Terima kasih...",tolong kepada pihak pengembang saya sudah mendownload materi komen dll kenapa saya masih tidak terbaca mendownload dan komen di absen dosen saya tolong diperbaiki lagi sangat mengganggu kami dalam penilaian dan saran saya juga ada notifikasi walaupun tdk saat membuka apk ini terima kasih,"['pihak', 'pengembang', 'mendownload', 'materi', 'komen', 'terbaca', 'mendownload', 'komen', 'absen', 'dosen', 'diperbaiki', 'sangat', 'mengganggu', 'penilaian', 'saran', 'notifikasi', 'walaupun', 'tdk', 'membuka', 'apk', 'terima', 'kasih']"
Tolong dong edlink di benerin ngirim tugas aja melebihi batas terus di hapus ga bisa makin susah di pake,tolong dong edlink di benerin ngirim tugas aja melebihi batas terus di hapus ga bisa makin susah di pake,"['dong', 'edlink', 'benerin', 'ngirim', 'tugas', 'aja', 'melebihi', 'batas', 'terus', 'hapus', 'ga', 'makin', 'susah', 'pake']"
Tolonglah apknya di perbaiki lagi loadingnya lama sekali banyak makan waktu. Sehingga kuliah kami mengalami keterlambatan,tolonglah apknya di perbaiki lagi loadingnya lama sekali banyak makan waktu sehingga kuliah kami mengalami keterlambatan,"['tolonglah', 'apknya', 'perbaiki', 'loadingnya', 'lama', 'sekali', 'banyak', 'makan', 'waktu', 'kuliah', 'mengalami', 'keterlambatan']"
"Eddlink nyaman di pakai , tpi kalau untuk di pakai upload tugas , ruang tidak mencukupi trus pdahal foto cuma beberapa aja , dan berkas susah untuk dihapus ,",eddlink nyaman di pakai  tpi kalau untuk di pakai upload tugas  ruang tidak mencukupi trus pdahal foto cuma beberapa aja  dan berkas susah untuk dihapus,"['eddlink', 'nyaman', 'pakai', 'tpi', 'kalau', 'pakai', 'upload', 'tugas', 'ruang', 'mencukupi', 'trus', 'pdahal', 'foto', 'cuma', 'beberapa', 'aja', 'berkas', 'susah', 'dihapus']"
👍,,[]
Sekarang sering error,sekarang sering error,"['sekarang', 'sering', 'error']"
Sudah mulai membaik,sudah mulai membaik,"['mulai', 'membaik']"
Cukup,cukup,['cukup']
Kenapa makin susah edlinknya sudah diperbaharui,kenapa makin susah edlinknya sudah diperbaharui,"['makin', 'susah', 'edlinknya', 'diperbaharui']"
Bagus,bagus,['bagus']
Lemot,lemot,['lemot']
Ok,ok,[]
Kenapa saya tidak bisa perbaharui aplikasi ini?,kenapa saya tidak bisa perbaharui aplikasi ini,"['perbaharui', 'aplikasi']"
Sekarang edkink bikin ribet menjak di oerbarui malah ga bisa dipake,sekarang edkink bikin ribet menjak di oerbarui malah ga bisa dipake,"['sekarang', 'edkink', 'bikin', 'ribet', 'menjak', 'oerbarui', 'malah', 'ga', 'dipake']"
Toplah,toplah,['toplah']
Edlink susah untuk login/masuk padahal kuota internet saya baru saya isi dari semalam mau kumpul tugas susah banget dan pagi dicoba juga gak bisa masuk/login untuk kumpul tugas. Tolong diperbaiki aplikasi ini supaya membantu siswa/mahasiswa yang lagi kuliah online. Bad,edlink susah untuk loginmasuk padahal kuota internet saya baru saya isi dari semalam mau kumpul tugas susah banget dan pagi dicoba juga gak bisa masuklogin untuk kumpul tugas tolong diperbaiki aplikasi ini supaya membantu siswamahasiswa yang lagi kuliah online bad,"['edlink', 'susah', 'loginmasuk', 'padahal', 'kuota', 'internet', 'baru', 'isi', 'semalam', 'mau', 'kumpul', 'tugas', 'susah', 'banget', 'pagi', 'dicoba', 'gak', 'masuklogin', 'kumpul', 'tugas', 'diperbaiki', 'aplikasi', 'membantu', 'siswamahasiswa', 'kuliah', 'online', 'bad']"
Kereenn🖒,kereenn,['kereenn']
Memudahkan dalam pembelajaran daring,memudahkan dalam pembelajaran daring,"['memudahkan', 'pembelajaran', 'daring']"
Masih mencoba,masih mencoba,['mencoba']
"Maaf untuk komen sy yg tidak menyenangkan kemarin Sy hanya emosi karna sulit skali pada waktu ujian, skali lagi maaf Trimakasih🙏🏿",maaf untuk komen sy yg tidak menyenangkan kemarin sy hanya emosi karna sulit skali pada waktu ujian skali lagi maaf trimakasih,"['maaf', 'komen', 'sy', 'yg', 'menyenangkan', 'kemarin', 'sy', 'emosi', 'karna', 'sulit', 'skali', 'waktu', 'ujian', 'skali', 'maaf', 'trimakasih']"
Aplikasi mulai kyk goblok hp gue bukan hp kentang tapi lolanya ngeri boss,aplikasi mulai kyk goblok hp gue bukan hp kentang tapi lolanya ngeri boss,"['aplikasi', 'mulai', 'kyk', 'goblok', 'hp', 'gue', 'bukan', 'hp', 'kentang', 'lolanya', 'ngeri', 'boss']"
Memudahkan untk kuliah online.,memudahkan untk kuliah online,"['memudahkan', 'untk', 'kuliah', 'online']"
mantap,mantap,['mantap']
Payah,payah,['payah']
Ok,ok,[]
updatenya terlalu besar sehingga data pada hp tidak mencukupi sehingga terpaksa harus harus instalan apk lain.,updatenya terlalu besar sehingga data pada hp tidak mencukupi sehingga terpaksa harus harus instalan apk lain,"['updatenya', 'terlalu', 'besar', 'data', 'hp', 'mencukupi', 'terpaksa', 'instalan', 'apk']"
Bagus,bagus,['bagus']
Sering Eror,sering eror,"['sering', 'eror']"
Mantap dehh,mantap dehh,"['mantap', 'dehh']"
Nice,nice,['nice']
Menarik,menarik,['menarik']
Knpa ini ngak bisa buat ngirim file sih,knpa ini ngak bisa buat ngirim file sih,"['knpa', 'ngak', 'buat', 'ngirim', 'file', 'sih']"
"Bagus sekali, sangat membantu mahasiswa",bagus sekali sangat membantu mahasiswa,"['bagus', 'sekali', 'sangat', 'membantu', 'mahasiswa']"
Rodo embuh iki,rodo embuh iki,"['rodo', 'embuh', 'iki']"
Mayan,mayan,['mayan']
Suka,suka,['suka']
Terbaik,terbaik,['terbaik']
"Terlalu sering memperbarui, jadi kelasku terhambat😖",terlalu sering memperbarui jadi kelasku terhambat,"['terlalu', 'sering', 'memperbarui', 'jadi', 'kelasku', 'terhambat']"
Apk sangat membantu saya dalam pembelajaran daring,apk sangat membantu saya dalam pembelajaran daring,"['apk', 'sangat', 'membantu', 'pembelajaran', 'daring']"
"Setiap d refresh akunya selalu keluar minta login lagi, lebih enak pake yang lama",setiap d refresh akunya selalu keluar minta login lagi lebih enak pake yang lama,"['d', 'refresh', 'akunya', 'selalu', 'keluar', 'minta', 'login', 'lebih', 'enak', 'pake', 'lama']"
"Kami sangat berterima kasih kpd aplikasi ini, karna aplikasi ini ada kami bisa kuliah",kami sangat berterima kasih kpd aplikasi ini karna aplikasi ini ada kami bisa kuliah,"['sangat', 'berterima', 'kasih', 'kpd', 'aplikasi', 'karna', 'aplikasi', 'kuliah']"
Sangat baik,sangat baik,"['sangat', 'baik']"
"Kenapa setelah di perbaharuui justru mempersulit pemakainya ? Kemaren kemaren aplikasi nya sangat membantu hlo. Saya bisa ngliat tugas udah dikumpulin belum,tugas yang ngumpulin siapa aja dan bisa diubah jika ada kesalahan. Setelah diperbaharui malah jadi ga nyaman. Ayolah support kita mahasiswa mahasiswi yang menggunakan aplikasi ini. Tolonggg bangett",kenapa setelah di perbaharuui justru mempersulit pemakainya  kemaren kemaren aplikasi nya sangat membantu hlo saya bisa ngliat tugas udah dikumpulin belumtugas yang ngumpulin siapa aja dan bisa diubah jika ada kesalahan setelah diperbaharui malah jadi ga nyaman ayolah support kita mahasiswa mahasiswi yang menggunakan aplikasi ini tolonggg bangett,"['perbaharuui', 'justru', 'mempersulit', 'pemakainya', 'kemaren', 'kemaren', 'aplikasi', 'nya', 'sangat', 'membantu', 'hlo', 'ngliat', 'tugas', 'udah', 'dikumpulin', 'belumtugas', 'ngumpulin', 'siapa', 'aja', 'diubah', 'kesalahan', 'diperbaharui', 'malah', 'jadi', 'ga', 'nyaman', 'ayolah', 'support', 'mahasiswa', 'mahasiswi', 'menggunakan', 'aplikasi', 'tolonggg', 'bangett']"
Apk nya bagus😊,apk nya bagus,"['apk', 'nya', 'bagus']"
Terima kasih membantu untuk pembelajaran secara daring,terima kasih membantu untuk pembelajaran secara daring,"['terima', 'kasih', 'membantu', 'pembelajaran', 'daring']"
"Alhamdulillah aplikasi ini sangat membantu mengumpulkan tugas kuliah, tpi jaringannya harus bagus hrus full..",alhamdulillah aplikasi ini sangat membantu mengumpulkan tugas kuliah tpi jaringannya harus bagus hrus full,"['alhamdulillah', 'aplikasi', 'sangat', 'membantu', 'mengumpulkan', 'tugas', 'kuliah', 'tpi', 'jaringannya', 'bagus', 'hrus', 'full']"
